mins 781 , noise_error =1.0
mins 782 , noise_error =1.0
mins 783 , noise_error =1.0
mins 784 , noise_error =1.0
mins 785 , noise_error =1.0
mins 786 , noise_error =1.0
mins 787 , noise_error =0.9918032786885246
mins 788 , noise_error =0.9833333333333333
mins 789 , noise_error =0.9741379310344828
mins 790 , noise_error =0.9834710743801653
mins 791 , noise_error =0.9838709677419355
mins 792 , noise_error =0.8442622950819672
mins 793 , noise_error =0.953125
mins 794 , noise_error =0.9739130434782609
mins 795 , noise_error =0.967479674796748
mins 796 , noise_error =0.9924242424242424
mins 797 , noise_error =1.0
mins 798 , noise_error =1.0
mins 799 , noise_error =1.0
mins 800 , noise_error =1.0
mins 801 , noise_error =0.9576271186440678
mins 802 , noise_error =0.9083333333333333
mins 803 , noise_error =0.9193548387096774
mins 804 , noise_error =0.9523809523809523
mins 805 , noise_error =0.9603174603174603
